Index,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
mh,-0.6545671010419549,-0.2293042178821434,-0.7474838803053444,0.8757307298601376,-0.1638137517544005,-0.37657353722805037,-0.9803879904420112,0.0,0.0,0.0
ms,-0.43364378331048087,0.012018501695677336,2.082317460745856,0.15359013450988804,-0.6925311996220035,0.6051455224759671,1.219540941344512,0.0,0.0,0.0
nt,-0.2794721853825216,1.0130874578216995,-0.2583518503415989,0.2542146133066717,0.7860345403317608,0.41387786856397046,1.0387025194956285,0.0,0.0,0.0
ot,-1.0090429031489387,1.2679309687617883,0.7834821378044997,-0.9136567804453811,-2.04897029623545,0.06994632805096233,-0.5898614524309959,0.0,0.0,0.0
ph,-0.1598842730037922,3.092471694509067,0.30161688438063095,-0.22729697135305238,0.14592458997894633,0.19501544358262343,-0.719486802422716,0.0,0.0,0.0
sm,-0.5822939643126819,-1.2926753431892324,1.3846003473711372,-0.42842027340650585,-0.1294003202884214,1.8725027576271924,-0.4275316001424684,0.0,0.0,0.0
sj,-0.6388321603927503,-0.5254622770848328,-0.5220853516850155,1.2734939770416591,-0.26728626395723626,-1.82331628317303,0.9418470553072265,0.0,0.0,0.0
sb,0.09890920525014325,-0.8147861392266567,0.08318969232147937,-1.073373518597022,0.6773787029269767,0.04218397012061193,0.5432428359968469,0.0,0.0,0.0
sv,-0.19774093056916578,-0.7708861787959005,3.840757562356863,1.404510236331816,-0.7696992122633824,0.03860751531217077,-1.0451429166895745,0.0,0.0,0.0
tr,-0.6996468783514057,1.3535552477471615,-0.9140917965593213,0.43791413771306353,0.10163093645236973,0.10115773911416501,0.05778122377489488,0.0,0.0,0.0
tm,1.146232747369819,-0.965215132257989,-0.05239918913179959,0.20440093408480065,-0.22413811499937483,-0.35337350620385005,-0.7458303358101689,0.0,0.0,0.0
tl,-0.7364365170375001,-0.5428654293275527,-0.4068720547598516,0.03049661461540044,-0.22995927017708293,-0.22200152841688914,-0.3876605605121744,0.0,0.0,0.0
vs,0.42417983467069936,-0.9041931982275411,-1.0755255995943112,0.3384189416559966,0.6057368307802637,0.7864589271938633,0.9449535950339479,0.0,0.0,0.0
vl,-0.45687587972313703,-0.42145833002143485,-0.7316917434122384,0.09530269180460331,-1.4959993267331486,-0.49211589468241085,1.1447140992273697,0.0,0.0,0.0
vn,-0.2211244897910616,-0.16825206767212428,-1.039628759369912,0.1996180217504876,-0.9881657923551932,-0.002169340177599666,0.37597262841827234,0.0,0.0,0.0
b,5.346385187947775,1.3377635355036492,-0.21618166199983194,1.2752884019275612,-1.0559345703694014,0.16273062331337992,0.07364488724046762,0.0,0.0,0.0
